chunk_id,assigned_user_id,buyer_name,buyer_fname,buyer_lname,period_start,period_end,period_year,period_quarter,period_label,total_leads,total_upsheets,leads_with_opportunity,total_opportunities,opportunity_upsheets,delivered_upsheets,sold_upsheets,delivered_opportunity_upsheets,total_expected_amount,latest_expected_amount,avg_sale_value,realization_amount,lead_to_opportunity_conversion_rate,close_rate,total_sale_value,realization_percent,workload_band,conversion_band,execution_band,value_band,realization_band,doc_type,kpi_version,source_file,chunk_text
kpi_buyer_26_2018_q3,26,Buyer26 User26,Buyer26,User26,2018-07-01,2018-09-30,2018,3,2018 Q3,1,1,1,0,0,0,0,0,0.00,0.00,,0.00,100.00,,0.00,,low workload,strong conversion,no closing activity,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer26 User26
Period: 2018 Q3
Period Start: 2018-07-01
Period End: 2018-09-30

KPI Snapshot
Total Leads: 1
Total Upsheets: 1
Conversion Rate: 100.00%
Close Rate: N/A
Total Sale Value: 0.00

Interpretation
Buyer26 User26 recorded low workload in 2018 Q3.
Lead conversion performance was strong conversion, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_26_2018_q4,26,Buyer26 User26,Buyer26,User26,2018-10-01,2018-12-31,2018,4,2018 Q4,0,0,0,0,0,1,0,1,0.00,0.00,,0.00,,,0.00,,low workload,no conversion activity,no closing activity,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer26 User26
Period: 2018 Q4
Period Start: 2018-10-01
Period End: 2018-12-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: N/A
Total Sale Value: 0.00

Interpretation
Buyer26 User26 recorded low workload in 2018 Q4.
Lead conversion performance was no conversion activity, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_26_2026_q1,26,Buyer26 User26,Buyer26,User26,2026-01-01,2026-03-31,2026,1,2026 Q1,0,0,0,1,1,0,0,0,7050.00,7050.00,,0.00,,0.00,0.00,,low workload,no conversion activity,weak execution,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer26 User26
Period: 2026 Q1
Period Start: 2026-01-01
Period End: 2026-03-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: 0.00%
Total Sale Value: 0.00

Interpretation
Buyer26 User26 recorded low workload in 2026 Q1.
Lead conversion performance was no conversion activity, while closing execution was weak execution.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00."
kpi_buyer_27_2018_q3,27,Buyer27 User27,Buyer27,User27,2018-07-01,2018-09-30,2018,3,2018 Q3,1,1,1,0,0,0,0,0,0.00,0.00,,0.00,100.00,,0.00,,low workload,strong conversion,no closing activity,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer27 User27
Period: 2018 Q3
Period Start: 2018-07-01
Period End: 2018-09-30

KPI Snapshot
Total Leads: 1
Total Upsheets: 1
Conversion Rate: 100.00%
Close Rate: N/A
Total Sale Value: 0.00

Interpretation
Buyer27 User27 recorded low workload in 2018 Q3.
Lead conversion performance was strong conversion, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_27_2018_q4,27,Buyer27 User27,Buyer27,User27,2018-10-01,2018-12-31,2018,4,2018 Q4,0,0,0,0,0,1,1,1,0.00,0.00,8135.00,1110.00,,,8135.00,15.80,low workload,no conversion activity,no closing activity,low value generation,above target realization,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer27 User27
Period: 2018 Q4
Period Start: 2018-10-01
Period End: 2018-12-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: N/A
Total Sale Value: 8135.00

Interpretation
Buyer27 User27 recorded low workload in 2018 Q4.
Lead conversion performance was no conversion activity, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as above target realization.
Total realized sale value for this period was 8135.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_27_2026_q1,27,Buyer27 User27,Buyer27,User27,2026-01-01,2026-03-31,2026,1,2026 Q1,0,0,0,1,1,0,0,0,7025.00,7025.00,,0.00,,0.00,0.00,,low workload,no conversion activity,weak execution,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer27 User27
Period: 2026 Q1
Period Start: 2026-01-01
Period End: 2026-03-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: 0.00%
Total Sale Value: 0.00

Interpretation
Buyer27 User27 recorded low workload in 2026 Q1.
Lead conversion performance was no conversion activity, while closing execution was weak execution.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00."
kpi_buyer_28_2018_q4,28,Buyer28 User28,Buyer28,User28,2018-10-01,2018-12-31,2018,4,2018 Q4,1,1,1,0,0,1,1,1,0.00,0.00,8340.00,1190.00,100.00,,8340.00,16.64,low workload,strong conversion,no closing activity,low value generation,above target realization,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer28 User28
Period: 2018 Q4
Period Start: 2018-10-01
Period End: 2018-12-31

KPI Snapshot
Total Leads: 1
Total Upsheets: 1
Conversion Rate: 100.00%
Close Rate: N/A
Total Sale Value: 8340.00

Interpretation
Buyer28 User28 recorded low workload in 2018 Q4.
Lead conversion performance was strong conversion, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as above target realization.
Total realized sale value for this period was 8340.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_28_2026_q1,28,Buyer28 User28,Buyer28,User28,2026-01-01,2026-03-31,2026,1,2026 Q1,0,0,0,1,1,0,0,0,7150.00,7150.00,,0.00,,0.00,0.00,,low workload,no conversion activity,weak execution,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer28 User28
Period: 2026 Q1
Period Start: 2026-01-01
Period End: 2026-03-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: 0.00%
Total Sale Value: 0.00

Interpretation
Buyer28 User28 recorded low workload in 2026 Q1.
Lead conversion performance was no conversion activity, while closing execution was weak execution.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00."
kpi_buyer_29_2018_q4,29,Buyer29 User29,Buyer29,User29,2018-10-01,2018-12-31,2018,4,2018 Q4,1,1,1,0,0,1,1,1,0.00,0.00,8545.00,1270.00,100.00,,8545.00,17.46,low workload,strong conversion,no closing activity,low value generation,above target realization,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer29 User29
Period: 2018 Q4
Period Start: 2018-10-01
Period End: 2018-12-31

KPI Snapshot
Total Leads: 1
Total Upsheets: 1
Conversion Rate: 100.00%
Close Rate: N/A
Total Sale Value: 8545.00

Interpretation
Buyer29 User29 recorded low workload in 2018 Q4.
Lead conversion performance was strong conversion, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as above target realization.
Total realized sale value for this period was 8545.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_29_2026_q1,29,Buyer29 User29,Buyer29,User29,2026-01-01,2026-03-31,2026,1,2026 Q1,0,0,0,1,1,0,0,0,7275.00,7275.00,,0.00,,0.00,0.00,,low workload,no conversion activity,weak execution,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer29 User29
Period: 2026 Q1
Period Start: 2026-01-01
Period End: 2026-03-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: 0.00%
Total Sale Value: 0.00

Interpretation
Buyer29 User29 recorded low workload in 2026 Q1.
Lead conversion performance was no conversion activity, while closing execution was weak execution.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00."
kpi_buyer_30_2018_q4,30,Buyer30 User30,Buyer30,User30,2018-10-01,2018-12-31,2018,4,2018 Q4,1,1,1,0,0,0,0,0,0.00,0.00,,0.00,100.00,,0.00,,low workload,strong conversion,no closing activity,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer30 User30
Period: 2018 Q4
Period Start: 2018-10-01
Period End: 2018-12-31

KPI Snapshot
Total Leads: 1
Total Upsheets: 1
Conversion Rate: 100.00%
Close Rate: N/A
Total Sale Value: 0.00

Interpretation
Buyer30 User30 recorded low workload in 2018 Q4.
Lead conversion performance was strong conversion, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_30_2026_q1,30,Buyer30 User30,Buyer30,User30,2026-01-01,2026-03-31,2026,1,2026 Q1,0,0,0,1,1,0,0,0,7250.00,7250.00,,0.00,,0.00,0.00,,low workload,no conversion activity,weak execution,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer30 User30
Period: 2026 Q1
Period Start: 2026-01-01
Period End: 2026-03-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: 0.00%
Total Sale Value: 0.00

Interpretation
Buyer30 User30 recorded low workload in 2026 Q1.
Lead conversion performance was no conversion activity, while closing execution was weak execution.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00."
kpi_buyer_31_2018_q4,31,Buyer31 User31,Buyer31,User31,2018-10-01,2018-12-31,2018,4,2018 Q4,1,1,1,0,0,1,0,1,0.00,0.00,,0.00,100.00,,0.00,,low workload,strong conversion,no closing activity,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer31 User31
Period: 2018 Q4
Period Start: 2018-10-01
Period End: 2018-12-31

KPI Snapshot
Total Leads: 1
Total Upsheets: 1
Conversion Rate: 100.00%
Close Rate: N/A
Total Sale Value: 0.00

Interpretation
Buyer31 User31 recorded low workload in 2018 Q4.
Lead conversion performance was strong conversion, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_31_2026_q1,31,Buyer31 User31,Buyer31,User31,2026-01-01,2026-03-31,2026,1,2026 Q1,0,0,0,1,1,0,0,0,7375.00,7375.00,,0.00,,0.00,0.00,,low workload,no conversion activity,weak execution,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer31 User31
Period: 2026 Q1
Period Start: 2026-01-01
Period End: 2026-03-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: 0.00%
Total Sale Value: 0.00

Interpretation
Buyer31 User31 recorded low workload in 2026 Q1.
Lead conversion performance was no conversion activity, while closing execution was weak execution.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00."
kpi_buyer_32_2018_q4,32,Buyer32 User32,Buyer32,User32,2018-10-01,2018-12-31,2018,4,2018 Q4,1,1,1,0,0,1,0,1,0.00,0.00,,0.00,100.00,,0.00,,low workload,strong conversion,no closing activity,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer32 User32
Period: 2018 Q4
Period Start: 2018-10-01
Period End: 2018-12-31

KPI Snapshot
Total Leads: 1
Total Upsheets: 1
Conversion Rate: 100.00%
Close Rate: N/A
Total Sale Value: 0.00

Interpretation
Buyer32 User32 recorded low workload in 2018 Q4.
Lead conversion performance was strong conversion, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_32_2026_q1,32,Buyer32 User32,Buyer32,User32,2026-01-01,2026-03-31,2026,1,2026 Q1,0,0,0,1,1,0,0,0,7500.00,7500.00,,0.00,,0.00,0.00,,low workload,no conversion activity,weak execution,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer32 User32
Period: 2026 Q1
Period Start: 2026-01-01
Period End: 2026-03-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: 0.00%
Total Sale Value: 0.00

Interpretation
Buyer32 User32 recorded low workload in 2026 Q1.
Lead conversion performance was no conversion activity, while closing execution was weak execution.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00."
kpi_buyer_33_2018_q4,33,Buyer33 User33,Buyer33,User33,2018-10-01,2018-12-31,2018,4,2018 Q4,1,1,1,0,0,1,1,1,0.00,0.00,8765.00,1290.00,100.00,,8765.00,17.26,low workload,strong conversion,no closing activity,low value generation,above target realization,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer33 User33
Period: 2018 Q4
Period Start: 2018-10-01
Period End: 2018-12-31

KPI Snapshot
Total Leads: 1
Total Upsheets: 1
Conversion Rate: 100.00%
Close Rate: N/A
Total Sale Value: 8765.00

Interpretation
Buyer33 User33 recorded low workload in 2018 Q4.
Lead conversion performance was strong conversion, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as above target realization.
Total realized sale value for this period was 8765.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_33_2026_q1,33,Buyer33 User33,Buyer33,User33,2026-01-01,2026-03-31,2026,1,2026 Q1,0,0,0,1,1,0,0,0,7475.00,7475.00,,0.00,,0.00,0.00,,low workload,no conversion activity,weak execution,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer33 User33
Period: 2026 Q1
Period Start: 2026-01-01
Period End: 2026-03-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: 0.00%
Total Sale Value: 0.00

Interpretation
Buyer33 User33 recorded low workload in 2026 Q1.
Lead conversion performance was no conversion activity, while closing execution was weak execution.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00."
kpi_buyer_34_2018_q4,34,Buyer34 User34,Buyer34,User34,2018-10-01,2018-12-31,2018,4,2018 Q4,1,1,1,0,0,1,0,1,0.00,0.00,,0.00,100.00,,0.00,,low workload,strong conversion,no closing activity,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer34 User34
Period: 2018 Q4
Period Start: 2018-10-01
Period End: 2018-12-31

KPI Snapshot
Total Leads: 1
Total Upsheets: 1
Conversion Rate: 100.00%
Close Rate: N/A
Total Sale Value: 0.00

Interpretation
Buyer34 User34 recorded low workload in 2018 Q4.
Lead conversion performance was strong conversion, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_34_2019_q1,34,Buyer34 User34,Buyer34,User34,2019-01-01,2019-03-31,2019,1,2019 Q1,0,0,0,0,0,0,1,0,0.00,0.00,8970.00,1370.00,,,8970.00,18.03,low workload,no conversion activity,no closing activity,low value generation,above target realization,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer34 User34
Period: 2019 Q1
Period Start: 2019-01-01
Period End: 2019-03-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: N/A
Total Sale Value: 8970.00

Interpretation
Buyer34 User34 recorded low workload in 2019 Q1.
Lead conversion performance was no conversion activity, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as above target realization.
Total realized sale value for this period was 8970.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_34_2026_q1,34,Buyer34 User34,Buyer34,User34,2026-01-01,2026-03-31,2026,1,2026 Q1,0,0,0,1,1,0,0,0,7600.00,7600.00,,0.00,,0.00,0.00,,low workload,no conversion activity,weak execution,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer34 User34
Period: 2026 Q1
Period Start: 2026-01-01
Period End: 2026-03-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: 0.00%
Total Sale Value: 0.00

Interpretation
Buyer34 User34 recorded low workload in 2026 Q1.
Lead conversion performance was no conversion activity, while closing execution was weak execution.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00."
kpi_buyer_35_2018_q4,35,Buyer35 User35,Buyer35,User35,2018-10-01,2018-12-31,2018,4,2018 Q4,1,1,1,0,0,0,0,0,0.00,0.00,,0.00,100.00,,0.00,,low workload,strong conversion,no closing activity,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer35 User35
Period: 2018 Q4
Period Start: 2018-10-01
Period End: 2018-12-31

KPI Snapshot
Total Leads: 1
Total Upsheets: 1
Conversion Rate: 100.00%
Close Rate: N/A
Total Sale Value: 0.00

Interpretation
Buyer35 User35 recorded low workload in 2018 Q4.
Lead conversion performance was strong conversion, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_35_2019_q1,35,Buyer35 User35,Buyer35,User35,2019-01-01,2019-03-31,2019,1,2019 Q1,0,0,0,0,0,1,1,1,0.00,0.00,8575.00,850.00,,,8575.00,11.00,low workload,no conversion activity,no closing activity,low value generation,above target realization,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer35 User35
Period: 2019 Q1
Period Start: 2019-01-01
Period End: 2019-03-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: N/A
Total Sale Value: 8575.00

Interpretation
Buyer35 User35 recorded low workload in 2019 Q1.
Lead conversion performance was no conversion activity, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as above target realization.
Total realized sale value for this period was 8575.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_35_2026_q1,35,Buyer35 User35,Buyer35,User35,2026-01-01,2026-03-31,2026,1,2026 Q1,0,0,0,1,1,0,0,0,7725.00,7725.00,,0.00,,0.00,0.00,,low workload,no conversion activity,weak execution,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer35 User35
Period: 2026 Q1
Period Start: 2026-01-01
Period End: 2026-03-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: 0.00%
Total Sale Value: 0.00

Interpretation
Buyer35 User35 recorded low workload in 2026 Q1.
Lead conversion performance was no conversion activity, while closing execution was weak execution.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00."
kpi_buyer_36_2018_q4,36,Buyer36 User36,Buyer36,User36,2018-10-01,2018-12-31,2018,4,2018 Q4,1,1,1,0,0,0,0,0,0.00,0.00,,0.00,100.00,,0.00,,low workload,strong conversion,no closing activity,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer36 User36
Period: 2018 Q4
Period Start: 2018-10-01
Period End: 2018-12-31

KPI Snapshot
Total Leads: 1
Total Upsheets: 1
Conversion Rate: 100.00%
Close Rate: N/A
Total Sale Value: 0.00

Interpretation
Buyer36 User36 recorded low workload in 2018 Q4.
Lead conversion performance was strong conversion, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_36_2026_q1,36,Buyer36 User36,Buyer36,User36,2026-01-01,2026-03-31,2026,1,2026 Q1,0,0,0,1,1,0,0,0,7700.00,7700.00,,0.00,,0.00,0.00,,low workload,no conversion activity,weak execution,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer36 User36
Period: 2026 Q1
Period Start: 2026-01-01
Period End: 2026-03-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: 0.00%
Total Sale Value: 0.00

Interpretation
Buyer36 User36 recorded low workload in 2026 Q1.
Lead conversion performance was no conversion activity, while closing execution was weak execution.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00."
kpi_buyer_37_2019_q1,37,Buyer37 User37,Buyer37,User37,2019-01-01,2019-03-31,2019,1,2019 Q1,1,1,1,0,0,1,0,1,0.00,0.00,,0.00,100.00,,0.00,,low workload,strong conversion,no closing activity,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer37 User37
Period: 2019 Q1
Period Start: 2019-01-01
Period End: 2019-03-31

KPI Snapshot
Total Leads: 1
Total Upsheets: 1
Conversion Rate: 100.00%
Close Rate: N/A
Total Sale Value: 0.00

Interpretation
Buyer37 User37 recorded low workload in 2019 Q1.
Lead conversion performance was strong conversion, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_37_2026_q1,37,Buyer37 User37,Buyer37,User37,2026-01-01,2026-03-31,2026,1,2026 Q1,0,0,0,1,1,0,0,0,7825.00,7825.00,,0.00,,0.00,0.00,,low workload,no conversion activity,weak execution,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer37 User37
Period: 2026 Q1
Period Start: 2026-01-01
Period End: 2026-03-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: 0.00%
Total Sale Value: 0.00

Interpretation
Buyer37 User37 recorded low workload in 2026 Q1.
Lead conversion performance was no conversion activity, while closing execution was weak execution.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00."
kpi_buyer_38_2019_q1,38,Buyer38 User38,Buyer38,User38,2019-01-01,2019-03-31,2019,1,2019 Q1,1,1,1,0,0,1,0,1,0.00,0.00,,0.00,100.00,,0.00,,low workload,strong conversion,no closing activity,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer38 User38
Period: 2019 Q1
Period Start: 2019-01-01
Period End: 2019-03-31

KPI Snapshot
Total Leads: 1
Total Upsheets: 1
Conversion Rate: 100.00%
Close Rate: N/A
Total Sale Value: 0.00

Interpretation
Buyer38 User38 recorded low workload in 2019 Q1.
Lead conversion performance was strong conversion, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_38_2026_q1,38,Buyer38 User38,Buyer38,User38,2026-01-01,2026-03-31,2026,1,2026 Q1,0,0,0,1,1,0,0,0,7950.00,7950.00,,0.00,,0.00,0.00,,low workload,no conversion activity,weak execution,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer38 User38
Period: 2026 Q1
Period Start: 2026-01-01
Period End: 2026-03-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: 0.00%
Total Sale Value: 0.00

Interpretation
Buyer38 User38 recorded low workload in 2026 Q1.
Lead conversion performance was no conversion activity, while closing execution was weak execution.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00."
kpi_buyer_39_2019_q1,39,Buyer39 User39,Buyer39,User39,2019-01-01,2019-03-31,2019,1,2019 Q1,1,1,1,0,0,1,1,1,0.00,0.00,9395.00,1470.00,100.00,,9395.00,18.55,low workload,strong conversion,no closing activity,low value generation,above target realization,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer39 User39
Period: 2019 Q1
Period Start: 2019-01-01
Period End: 2019-03-31

KPI Snapshot
Total Leads: 1
Total Upsheets: 1
Conversion Rate: 100.00%
Close Rate: N/A
Total Sale Value: 9395.00

Interpretation
Buyer39 User39 recorded low workload in 2019 Q1.
Lead conversion performance was strong conversion, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as above target realization.
Total realized sale value for this period was 9395.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_39_2026_q1,39,Buyer39 User39,Buyer39,User39,2026-01-01,2026-03-31,2026,1,2026 Q1,0,0,0,1,1,0,0,0,7925.00,7925.00,,0.00,,0.00,0.00,,low workload,no conversion activity,weak execution,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer39 User39
Period: 2026 Q1
Period Start: 2026-01-01
Period End: 2026-03-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: 0.00%
Total Sale Value: 0.00

Interpretation
Buyer39 User39 recorded low workload in 2026 Q1.
Lead conversion performance was no conversion activity, while closing execution was weak execution.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00."
